album,year,song,lyrics
scorpion,2018,Survival,I been waitin' on this Yeah All of this disorder no addressin' The crown is broken in pieces but there's more in my possession There's a whole lot in my possession Who do you really love? Well that's sure to be in question My Mount Rushmore is me with four different expressions Who's givin' out this much return on investment? After my run man how is that even a question? After this summer man how is that even a  I've had real Philly niggas try to write my endin' Takin' shots with the goat and talked about shots that we sendin' I've had scuffles with bad boys that wasn't pretendin' I've had too many nights to mention that's just the beginnin' I'm pretty sure we got a label I'm still independent I fell back a hundred times when I don't get the credit Seen this movie a hundred times I know where it's headed Realize someone gotta die when no one'll dead it Niggas gamblin' with they life for some content That's the type of lottery that could get your top picked I am a cream of the crop nigga You niggas pop mollies my Mali's pop niggas House on both coasts but I live on the charts I have tea with the stars and I swim with the sharks And I see in the dark wasn't this cold at the start Think my soul has been marked there's a hole in my heart Yeah I was about to... man I thought about it It's unsettlin' to talk about it Free all of my niggas that they caught with it R.I.P. my niggas that they caught without it This just the intro let me not get ahead of myself This is God's plan young man you said it yourself Always got a ace up my sleeve for whatever was dealt Daddy got suits like Bernie Mac he dresses himself I stopped askin' myself and I started feelin' myself Now I gotta deal with all this drama and deal with myself I ain't even have to cut the tie it severed itself This just the intro let me not get ahead of myself
scorpion,2018,Nonstop,Tay Keith fuck these niggas up! Look I just flipped a switch (flipped flipped) I don't know nobody else that's doin' this Bodies start to drop (ayy hit the floor) Now they wanna know me since I hit the top ayy This a Rollie not a stopwatch shit don't ever stop This the flow that got the block hot shit got super hot Give me my respect (give me my respect) I just took it left like I'm ambidex Bitch I move through London with the Euro step Got a sneaker deal and I ain't break a sweat Catch me 'cause I'm goin' outta there (I'm gone) How I go from 6 to 23 like I'm LeBron? Servin' up a pack (servin' up a pack) Niggas pullin' gimmicks 'cause they scared to rap Funny how they shook (ayy got these niggas shook) Pullin' back the curtain by myself take a look ayy I'm a bar spitta I'm a hard hitta Yeah I'm light skinned but I'm still a dark nigga I'm a wig splitta I'm a tall figure I'm a unforgivin' wild ass dog nigga Somethin' wrong with 'em got 'em all bitter I'm a bill printer I'm a grave digger Yeah I am what I am I don't have no time for no misunderstandings again (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin') This a Rollie not a stopwatch shit don't ever stop From smokin' the chicken the face is tickin' (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is ) Future took the business and ran it for me I let Ollie take the owl told him brand it for me I get 2 million a pop and that's standard for me Like I went blind dog you gotta hand it to me (Gotta gimme that shit dog) Prayed then I prayed again (amen Lord) Had a moment but it came and went (they don't love you no more) You don't wanna play with him (nah nah nah) They'll be mournin' you like 8AM (R.I.P.) Pinky ring 'til I get a wedding ring (woah yeah) Love my brothers cut 'em in on anything (big slice) And you know it's King Slime Drizzy damn (ooh yeah) She just said I'm bae I hit the thizzle dance (Mac Dre shit damn) Either hand is the upper hand (oh yeah shit) Got a bubba on my other hand (oh yeah shit yeah) This shit ain't no hundred bands (nah nah nah nah) Palace look like Buckingham Bills so big I call 'em Williams for real Reasons to go crazy got a trillion for real They been tryin' me but I'm resilient for real I can't go in public like civilian for real And I hardly take offense Money for revenge man that's hardly an expense Al Haymon checks off of all of my events I like all the profit man I hardly do percents (I don't do that shit) A big part of me resents Niggas that I knew from when I started in this shit They see what I got and man it's hard to be content Fuck what they got goin' on I gotta represent (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin') This a Rollie not a stopwatch shit don't ever stop (From smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin' from smokin' the chicken the face is tickin') (My head is spinnin') This the flow that got the block hot shit got super hot
scorpion,2018,Elevate,(Ayy) Elevate elevate Only obligation is to tell it straight So much on my plate I gotta delegate Baka passed a drug test we gotta celebrate I'm in better weight thinkin' how'd I make  All this happen for myself and my family All this happen for myself and my family There's no way that this is real man it can't be (Yeah yeah) If you need me you can't call me I stay busy makin' money You know what is on my mind All I think about is hunnids I stay busy (bzz!) workin' on me I stay busy with my business homie I already hit her when you left her lonely She is not the type that likes to take things slowly Slowly my mouth is goin' off I don't know patience I got a chance then my niggas got it too like it's contagious I see the future when I get wavy (wavy God!) But I couldn't picture bein' Champagne when I would buy that shit and save it for the right occasion I couldn't picture changes when I was with Ms. Craten That lady hates me Couldn't picture wifin' Braden when I was pumpin' gas on road trips to go from Cincinnati on to Dayton I couldn't gauge it I wanna thank God for workin' way harder than Satan He's playin' favorites it feels amazin' (yeah) Elevate elevate Only obligation is to tell it straight Me and all the guys found a better way This for life bih we can never separate I'm in better weight thinkin' how'd I make  All this happen for myself and my family All this happen for myself and my family There's no way that this is real man it can't be Yeah I can only tell you shit in pieces As it happens to me I begin to write the thesis Freddy got the Aria setup like it's a Freaknik Vegas like Marine Land that big whale treatment Georgie got me up a hunnid thousand for the weekend I gotta move the safe beside the bed when I be sleepin' My mood is changin' this summer I'ma be tweakin'
scorpion,2018,Emotionless,"You've got me feeling emotions Higher ooh You've got me fe  You've oh Don't link me Don't hit me when you hear this and tell me your favorite song Don't tell me how you knew it would be like this all along I know the truth is you won't love me until I'm gone And even then the thing that comes after is movin' on I can't even capture the feeling I had at first Meetin' all my heroes like seein' how magic works The people I look up to are goin' from bad to worse Their actions out of character even when they rehearse Workin' in the land of the free the home of the brave I gotta bring my brothers or else I feel out of place Breakin' speed records on roads that these niggas paved And they don't like that it's written all on they face I don't know how I'ma make it out of here clean Can't even keep track of who plays for the other team Iconic duos rip and split at the seams Good hearted people are takin' it to extremes Leavin' me in limbo to question what I believe Leavin' me to ask what's their motive in makin' peace Leavin' me to not trust anybody I meet Leavin' me to ask is there anybody like me? You've got me fe  You've oh h You've got me fe  You oh h Aye Missin' out on my years There's times when I wish I was where I was Back when I used to wish I was here Missin' out on my days Scrollin' through life and fishin' for praise Opinions from total strangers take me out of my ways I'm tryna see who's there on the other end of the shade Most times it's just somebody that's underage That's probably just alone and afraid And lashin' out so that someone else can feel they pain I always hear people complain about the place that they live That all the people here fake and they got nothin' to give 'Cause they been starin' at somebody else's version of shi  That makes another city seem more excitin' than it is I know a girl whose one goal was to visit Rome Then she finally got to Rome And all she did was post pictures for people at home 'Cause all that mattered was impressin' everybody she's known I know another girl that's cryin' out for help But her latest caption is ""Leave me alone"" I know a girl happily married 'til she puts down her phone I know a girl that saves pictures from places she's flown To post later and make it look like she still on the go Look at the way we live I wasn't hidin' my kid from the world I was hidin' the world from my kid From empty souls who just wake up and look to debate Until you starin' at your seed you can never relate Breakin' news in my life I don't run to the blogs The only ones I wanna tell are the ones I can call They always ask ""Why let the story run if it's false?"" You know a wise man once said nothin' at all I'm exhausted and drained I can't even pretend All these people takin' miles when you give 'em an inch All these followers but who gon' follow me to the end? I guess I'll make it to the end and I'ma find out then You've got me fe  You've oh h Aye Higher higher You've got me fe  You've oh h Aye Higher higher"
scorpion,2018,Gods Plan,"Yeah they wishin' and wishin' and wishin' and wishin' They wishin' on me yuh I been movin' calm don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 AM to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Guess I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story s*** was different with me God's plan God's plan I hold back sometimes I won't yuh I feel good sometimes I don't ay don't I finessed down Weston Road ay 'nessed Might go down a G.O.D. yeah wait I go hard on Southside G yu ait I make sure that north side eat And still Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yuh ay ay She say ""Do you love me?"" I tell her ""Only partly"" I only love my bed and my momma I'm sorry Fifty dub I even got it tatted on me 81 they'll bring the crashers to the party And you know me Turn the O2 into the O3 dog Without 40 Oli there would be no me Imagine if I never met the broskies God's plan God's plan I can't do this on my own ay no ay Someone watchin' this s*** close yep close I've been me since Scarlett Road ay road ay Might go down as G.O.D. yeah wait I go hard on Southside G ay wait I make sure that north side eat yuh And still Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yeah yeah Bad things It's a lot of bad things That they wishin' and wishin' and wishin' and wishin' They wishin' on me Yeah"
scorpion,2018,Im Upset,Yeah I'm workin' on dyin' I'm upset Fifty thousand on my head it's disrespect So offended that I had to double check I'ma always take the money over sex That's why they need me out the way What you expect? Got a lot of blood and it's cold They keep tryna get me for my soul Thankful for the women that I know Can't go fifty fifty with no ho Every month I'm supposed to pay her bills And get her what she want I still got like seven years of doin' what I want My dad still got child support from 1991 Outta time people love to pop a lot of shit then come around Word to Flacko Jodye he done seen us put it down Niggas askin' if I'm cool I'm upset Hunnid thousand on my head it's disrespect So offended that I had to double check You tryna check? This is real life niggas think we playin' chess So what's next? Jump up out the bed like I'm possessed I go out on tour and I say I'm drinkin' less End up gettin' loose and gettin' pictures from my ex SMS triple X That's the only time I ever shoot below the neck (skrr) Why you keep on shootin' if you know that nigga dead? (Skrr) That's the only kind of shit that gets you some respect Got a lot of blood and it's cold They keep tryna get me for my soul Thankful for the women that I know Can't go fifty fifty with no ho (ayy ayy) Every month she don't even love me she just puttin' on a front She gon' tryna settle outta court and make a run Then gon' ask me how I'm doin'? I'm upset Half a million on my head I can't accept yeah 'Least it makes me feel someone tried their best yeah Want to waste a half a million be my guest Made me wanna buy a vest and a tech (skrr) But I'm blessed I just checked Hate me never met me in a flesh Said she's got somethin's she gotta come here and collect That shit is in a box to the left to the left Got a lot of blood and it's cold They keep trynna get me for my soul Thankful for the women that I know Can't go fifty fifty with no ho
scorpion,2018,8 Out of 10,"Too rich for who? Y'all just got rich again Who grips the mic and likes to kill they friends? I've never been the type to make amends If shit was at a eight we like to we like to we like to  Yeah if shit was at a eight we like to make it ten 1da sent this in I'm goin' up all the way I don't like to talk when there's nothin' else left to say Drizzy 'bout to drop the game is in disarray I'd tell you hear me out but we both know end of the day Your sister is pressin' play your trainer is pressin' play Your wifey your wifey your wifey your wifey  I gotta breathe in real deep when I catch an attitude I got a whole nother level that I can tap into Max said they only bless when they attached to you The only deadbeats is whatever beats I been rappin' to And the product is still the best though It's only good in my city because I said so Just to fit the estate man I had to cop a feel like presto voila tada Never a matter of ""Could I?"" or ""Should I?"" Kiss my son on the forehead then kiss your ass goodbye As luck would have it I've settled into my role as the good guy I guess luck is on your side I guess luck is on your side All sevens no sixes rest easy get some shut eye Hold on hold on but I  Miss makin' 'em pay Helipad from Will Smith crib straight to the stage Three Forum shows but I played Staples today The neighborhood is smokey y'all stay safe in this place Drizzy 'bout to drop the game is in disarray I'd tell you hear me out but we both know end of the day Your niggas is pressin' play your nanny is pressin' play Your wifey your wifey your wifey your wifey  Had to go and hit reset now we here I been on top for three sets of three years I can't be around the niggas you minglin' with I can't fly if I can't sit on the wing of that shit Try to pay it less mind They been keepin' tabs on me like I'm payin' next time I think I sense a little fear from the other side White vans parked across the street real subtle guys Yeah never a matter of ""Could I?"" or ""Should I?"" Kiss my mom on the forehead then kiss your ass goodbye As luck would have it I've settled into my role as the good guy I guess luck is on your side I guess luck is on your side All sevens no sixes rest easy get some shut eye Hold on hold on but I  (haha) Hahaha I can't argue with you No! You mad! Look at you! You mad! You big mad! (hahaha) I'm happy! Leave me alone! I just want some money A lot of money I don't get paid to argue with you No! Who is you? You ain't nobody You mad!"
scorpion,2018,Mob Ties,Ayy sick of these niggas (sick) Sick of these niggas (sick sick) Hire some help (help) get rid of these niggas (skrr) Sick of this shit move to the Ritz Turned out the bitch (ayy) It is what it is yeah GLE 'cause that Lambo movin' fast (skrr) S Class G Class lotta class (sss sss) In a rocket and that bitch ain't got no tags (skrr skrr) Louis bags in exchange for body bags yeah Sick of these niggas (sick) Sick of these niggas (sick sick) Hire some help (help) get rid of these niggas (grr) Fuck what it was it is what it is Whatever you did it is what it is And I'm so tired (tired) I fuck with the mob and I got ties (got the ties got the ties) Knock you off to pay their tithes (oh) They want me gone but don't know why It's too late for all that lovey dovey shit I'm your brother shit all that other shit It's too late for all that It's too late for all that ayy It's too late for all that lovey dovey shit I'm your brother shit all that other shit It's too late for all that ayy It's too late for all that Ayy sick of these niggas Sick of these niggas Hire some help get rid of these niggas I'm not with the ra ra I am a Dada My bitch in Chanel now Your bitch in Escada (sick sick sick sick) Yeah and they shook Please don't let them fool ya I don't care how they look (nah) Heard all of the talkin' now it's quiet now it's shush (shh) Twenty nine is comin' they on edge when I cook (cook) Lead the league in scorin' man but look at my assists (shh) Yes I be with Future but I like to reminisce (yeah) I do not forget a thing I'm patient it's a gift (yeah) Try to tell 'em they ain't got to do it they insist (they insist) Yeah I can tell I just gave 'em two for forty million like Chappelle (two) Standin' over coffin with a hammer and a nail (two) Heard you hit up so and so that name don't ring a bell nah Sick of these niggas (sick) Hire some help get rid of these niggas I'm sick of this shit (sick sick) I'm runnin' a blitz (ayy) Whatever you did it is what it is And I'm so tired (tired) I fuck with the mob and I got ties (lotta ties lotta ties) Knock you off to pay their tithes They want me gone but don't know why It's too late for all that lovey dovey shit I'm your brother shit all that other shit It's too late for all that It's too late for all that ayy It's too late for all that lovey dovey shit I'm your brother shit all that other shit It's too late for all that ayy It's too late for all that
scorpion,2018,Cant Take a Joke,Ayo blast that shit Maxx! Blast that shit back if you blastin' Ayy UberX to Hidden Hills give me somethin' I can feel If they come to Hidden Hills then I know they know the deal We just right there up the road you could hit it wit' a stone I be out here on my own I'm just tryna set the tone I've been kicked when I was down none of that shit matter now Niggas think they run the town 'til we run 'em out of town And they gotta relocate gotta dip from where they stay Everything will be okay man just stay up out my way Skit around ends with the bros and I'm kitted to the toes If I touch studio then we got one I be tryna laugh with the bros 'bout the opps that we know But they can't take a joke 'cause it's not one Think it's 'cause we live by the code reputation to uphold Makin' me the one they gotta take the spot from I be tryna laugh with the bros but they can't take a joke Ayo blast that shit Maxx! Blast that shit back if you blastin' Yeah yeah Back and forth to Italy my comment section killin' me I swear I get so passionate y'all do not know the half of it I grew up with the Reps Up boys we crashin' it and splashin' in And when I say they crashin' it I do not mean a accident I'm  I'm still in the studio at 6:45 And my haters either on they way to work or they arrived And I gotta own the things I rap about just for my pride You know when it comes to pride I can't put that shit aside I've been kicked when I was down none of that shit matter now They be throwin' in the towel I do yellowtail at TAO They be watchin' what they say especially when it's to my face Everything will be okay man just stay up out my way Skit around ends with the bros and I'm kitted to the toes If I touch studio then we got one I be tryna laugh with the bros 'bout the opps that we know But they can't take a joke 'cause it's not one Think it's 'cause we live by the code reputation to uphold Makin' me the one they gotta take the spot from I be tryna laugh with the bros but they can't take a joke
scorpion,2018,Sandras Rose,Yeah no more Baby baby baby baby baby baby baby Yeah no more Baby baby baby baby baby baby baby ooh Yeah Niggas see the crib and ask who did I steal from Price tags on makin' the world feel some They don't have enough to satisfy a real one Maverick Carter couldn't even get the deal done Niggas scared to come towards us gotta run from us Louisville hush money for my young gunners Rick Pitino I take 'em to strip clubs and casinos Stack of c notes get all you niggas scratched like Preemo Worms I just opened up a can of those My mother had a flower shop but I was Sandra's rose Two girls that I rope like Indiana Jones I make them hoes walk together like I'm Amber Rose Yeah fuck that I got to up the ante California girls sweeter than pieces of candy Had me all in Nipsey hood and go link up with Sammy Type of hood where bandanas make niggas a family Head on a swivel I could shoot but I could never dribble Life too short I gotta get it 'fore they blow the whistle My uncle tryna change my energy with stones and crystals But it's gon' take more than that for me to control my issues I wasn't made for no casket or no prison cell Every title doin' numbers like I'm Miss Adele Sandra knows I pulled us out of a living hell I'm the chosen one flowers never pick themselves No more no more Baby baby baby baby baby baby baby yeah No more no more Baby baby baby baby baby baby baby ooh Niggas want a classic that's just ten of these Crime family like the Genovese You don't want drama capisce? My house is full of supermodels just like Mohamed Hadid I take this shit too serious you niggas my comic relief I find it funny how I keep on talkin' and commas increase I'm standin' at the top of where you niggas are climbin' to reach I even got my very own initials inscribed on my sheets Subtle reminders are key jeez! Spoiler alert: the second act is tragic And everyone that wants the worst for me's askin' what happened Backstabbed so many times I started walkin' backwards Like Charlemagne I see the light and see the darkest patches Bury me and I'll be born again I walk in godly form amongst the mortal men I got some real demons across the border fence And made a note of the mistakes we can't afford again Like I said can of worms and I'm the early bird Niggas want to hang but I'm too busy doin' dirty work Hit 'em back and say we'll link up on the 33rd When I say that they cursin' me it ain't dirty words Church of Pentecost Holy Spirit synagogue I don't know who's protectin' me but we hit it off Sandra's rose no wonder they tryna' pick me off I guess you gotta show these niggas who you really are No more no more Baby baby baby baby baby baby baby yeah No more no more Baby baby baby baby baby baby baby ooh
